ID,Glottocode,Language,Family,Consonants,WALS_size,Has_fricatives,F/C Ratio,Fricatives,n_fricatives,n_places,β,ɸ,v,f,θ,ð,s,z,s̺,ʃ,ɹ̝,ɬ,ɕ,ʑ,ç,ʝ,ɮ,ʒ,ʂ,ʐ,x,ɣ,ʁ,h,Voice_stops,Voice_fricatives,Allo_fric,Latitude,Longitude,Source,Commentary
114,akaw1239,Ingarikó,Cariban,10,small,1,0.1,s,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-10.70, -64.124",,sousa_cruz_2005,The approximant w has a fricative allophone β when preceding a front vowel.
115,gali1262,Carib,Cariban,9,small,1,0.11,s,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10.70, -64.125",,courtz_2008,
116,caqu1242,Caquinte,Arawakan,16,moderately small,1,0.25,β s ʃ h,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"-10.70, -64.126",,ohagan_2020,
117,ashe1273,Ashéninka Pajonal,Arawakan,23,average,1,0.13,ʃ h hʲ,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.127",,pedros_2023,"The consonant β is an approximant, with an open articulation without friction."
118,tari1256,Tariana,Arawakan,24,average,1,0.08,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.128",,aikhenvald_2003,
119,yucu1253,Yukuna,Arawakan,22,average,1,0.04,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.129",,lemus_serrano_2020,"Yukuna has a whole set of contrasting voiced and voiceless sonorants, which yields a relatively large segmental inventory."
120,waya1270,Wajãpi,Tupian,14,small,1,0.14,β s,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"-10.70, -64.130",,carvalho_2026,The approximant j has optional fricative realizations [ʝ].
121,saba1268,Sabanê,Nambikwaran,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.131",,araujo_2004,"The voiced stops are implosives; the consonant inventory does not include approximant vocoids, which are considered to be positional allophones of high vowels."
122,mama1278,Mamaindê,Nambikwaran,14,small,1,0.14,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"-10.70, -64.132",,eberhard_2009,
123,sout2994,Nambiquara,Nambikwaran,29,moderately large,1,0.17,ɸ s sˀ h hˀ,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.133",,kroeker_2001,"The large consonantal inventory derives from Kroeker’s analysis of aspirated and glottalized consonants as independent phonemes. Lowie (1999) derives a much smaller segmental inventory, as he analyzes aspirated and glottalized consonants as clusters."
124,yavi1244,Yavitero,Arawakan,19,average,1,0.1,θ h,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.134",,mosonyi_1987,
125,guar1293,Baniva,Arawakan,18,moderately small,1,0.16,ʂ ʐ h,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,"-10.70, -64.135",,mosonyi_2000,
126,yawa1261,Yawalapiti,Arawakan,17,moderately small,1,0.17,ʃ ʂ h,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"-10.70, -64.136",,carvalho_2016,
127,resi1247,Resígaro,Arawakan,30,moderately large,1,0.13,ɸ β ʃ ʒ,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"-10.70, -64.137",,seifart_2012,
128,mapi1252,Mawayana,Arawakan,16,moderately small,1,0.31,ɸ s ʃ ʂ h,5,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"-10.70, -64.138",,coretta_2013,"The voiced stops are implosives, so the inventory can be considered to lack voiced stops, if voicing is non-contrastive."
129,noma1263,Nomatsiguenga,Arawakan,16,moderately small,1,0.18,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.139",,lawrence_2013,"One of the consonantal segments postulated for Nomatsiguenga is a ‘unspecified nasal N’, of uncertain status."
130,nant1250,Nanti,Arawakan,17,moderately small,1,0.17,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.140",,michael_2001,Nanti seems to be the only Campan language where rhinoglottophilia is attested; the approximant j has [ʒ] as one of its allophones; the bilabial voiced stop b has [β] as one of its allophones.
131,para1310,Arara,Cariban,15,moderately small,1,0.06,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.141",,alves_2017,"The fricative h is a very marginal phoneme found only in a couple of words, mostly anthroponyms."
132,baka1277,Bakairi,Cariban,18,moderately small,1,0.27,s z ʃ ʒ h,5,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,"-10.70, -64.142",,meira_2005,The western dialect of Bakairi lacks the voiced fricatives. The system with voiced fricatives is reconstructed for Proto-Bakairi.
